"","EGFR","ERBB234","ratio","value"
"OVCAR8_OVARY",3.07077521516733,8.44604171644993,0.363575662808596,"middle"
"KP2_PANCREAS",3.35884114472234,9.25177726551919,0.363048206666251,"middle"
"RT112_URINARY_TRACT",3.73535288975265,10.3939832523359,0.359376458386459,"middle"
"IGROV1_OVARY",2.7243825504156,7.6037891813008,0.358292751871053,"middle"
"OCUM1_STOMACH",4.04123525197463,11.3347132704514,0.356536169512977,"middle"
"LS123_LARGE_INTESTINE",3.21235966972216,9.0215506971446,0.356076219883007,"middle"
"CAL851_BREAST",3.47081646587767,9.82719772714652,0.353184759505747,"middle"
"HEP3B217_LIVER",3.61395798971235,10.3738564361978,0.348371698792945,"middle"
"TOV21G_OVARY",2.43321101242033,7.09293004648036,0.34304737202755,"middle"
"HEC1B_ENDOMETRIUM",2.82200988016096,8.32256986508791,0.339079145733449,"middle"
"KMBC2_URINARY_TRACT",3.71514344466292,11.039743209802,0.336524443916802,"middle"
"MFE319_ENDOMETRIUM",2.95821243620043,8.82316934710365,0.335277757892238,"middle"
"PANC1005_PANCREAS",3.30378783799533,9.93901577247114,0.332405935721129,"middle"
"HUH1_LIVER",2.51717674415637,7.64191923863209,0.329390649855512,"middle"
"SKOV3_OVARY",3.39743221727337,10.5124704470232,0.323181143233122,"middle"
"TE9_OESOPHAGUS",3.44083319602001,10.6543403909671,0.322951310898346,"middle"
"PANC0403_PANCREAS",2.93523199668415,9.09624066914486,0.322686272653348,"middle"
"HPAFII_PANCREAS",3.92119033984969,12.2170810592764,0.320959672840374,"middle"
"T3M10_LUNG",3.00371612610745,9.37742165213262,0.320313646707391,"middle"
"HCC1187_BREAST",3.22694444219723,10.0934229259576,0.31970764188414,"middle"
"JHOS2_OVARY",2.51053106514839,7.90521992628248,0.31757890211272,"middle"
"COLO678_LARGE_INTESTINE",3.64128435295896,11.5975157877337,0.31397106238995,"middle"
"CAPAN2_PANCREAS",3.31220799058617,10.7012861174471,0.309514945608831,"middle"
"SW780_URINARY_TRACT",3.31900174897477,10.7519280382128,0.308688984634097,"middle"
"OVCAR4_OVARY",2.76218858744347,9.0241030989947,0.306090096394309,"middle"
"HEC59_ENDOMETRIUM",2.52255068356596,8.27980300033634,0.304663128272917,"middle"
"KYSE510_OESOPHAGUS",2.79736052088038,9.22062674945218,0.303380735051072,"middle"
"HDQP1_BREAST",3.18910381196289,10.5299012264203,0.3028617024404,"middle"
"RT4_URINARY_TRACT",3.38755873170516,11.3833954559085,0.297587722821915,"middle"
"JHH5_LIVER",3.14563356636784,10.596933830342,0.29684374902493,"middle"
"PLCPRF5_LIVER",3.00446902297736,10.1333644228747,0.296492743929665,"middle"
"HCC2935_LUNG",3.41364769587751,11.6000399356652,0.29427896065961,"middle"
"FU97_STOMACH",2.53493125562105,9.05776245008313,0.279862854605752,"middle"
"HEC251_ENDOMETRIUM",2.56372250228934,9.19369326509835,0.278856649701584,"middle"
"NCIH2009_LUNG",2.6264187474812,9.51638571312443,0.275989102024206,"middle"
"NIHOVCAR3_OVARY",2.53041163340301,9.26275691993059,0.273181262908708,"middle"
"MKN45_STOMACH",2.74750385700347,10.0715396097647,0.272798793775251,"middle"
"JHOS4_OVARY",3.06594741599941,11.2521769525368,0.27247593322892,"middle"
"NCIH1869_LUNG",2.61696781902727,9.64626119242569,0.27129348530207,"middle"
"OE33_OESOPHAGUS",3.52268614731063,13.0571835692017,0.26978912631815,"middle"
"NCIH358_LUNG",2.21346223906173,8.30516131950625,0.266516465353056,"middle"
"C2BBE1_LARGE_INTESTINE",2.3770919052604,8.95303036376768,0.265506963416581,"low"
"MKN7_STOMACH",3.58672363035534,13.5138005184754,0.26541191173066,"low"
"SW1417_LARGE_INTESTINE",2.88806134145595,10.9587996838665,0.26353810862222,"low"
"HPAC_PANCREAS",2.85560331074569,10.8560780054472,0.263041893150809,"low"
"HUPT4_PANCREAS",2.95859807943547,11.255820856717,0.262850494610519,"low"
"T84_LARGE_INTESTINE",2.72511996971891,10.4185726515343,0.261563657601176,"low"
"NCIH441_LUNG",2.87980075908668,11.1442659320326,0.258410987017917,"low"
"KYSE410_OESOPHAGUS",3.59267935161444,14.2313645733073,0.25244798790082,"low"
"SNUC2A_LARGE_INTESTINE",3.03650106740464,12.1947896481943,0.248999872486875,"low"
"IM95_STOMACH",2.62705532671338,11.02461795508,0.238289919652306,"low"
"DV90_LUNG",2.21612221258538,9.35446900677447,0.236905185209387,"low"
"OVMANA_OVARY",2.40849748328224,10.1960910129746,0.236217730914466,"low"
"HS852T_SKIN",2.2386234759324,9.54422411495836,0.234552693751593,"low"
"NCIH2122_LUNG",2.27975804620868,9.73316366743378,0.234225799966411,"low"
"SNU16_STOMACH",2.62159001834941,11.2388056173452,0.233262332992344,"low"
"LN229_CENTRAL_NERVOUS_SYSTEM",2.4408078726989,10.6782099578586,0.228578374309131,"low"
"COLO201_LARGE_INTESTINE",2.63570406988922,12.0472406255981,0.218780727620634,"low"
"HCT15_LARGE_INTESTINE",2.09484453011897,9.88293666576262,0.211965795285941,"low"
"HCC78_LUNG",2.12691817780362,10.3114386852476,0.206267839311944,"low"
"NCIN87_STOMACH",3.22438627641711,15.8978759823273,0.202818683451894,"low"
"SKCO1_LARGE_INTESTINE",2.46581061025208,12.2538321063336,0.201227713000701,"low"
"HCC1954_BREAST",3.08164895794403,15.3465212480169,0.200804397826787,"low"
"KE39_STOMACH",2.51306095646721,12.5308344599724,0.200550168027098,"low"
"LS513_LARGE_INTESTINE",2.32689940855825,11.8032958942957,0.19713980140774,"low"
"AU565_BREAST",3.1912604099314,17.1706500320432,0.185855538606633,"low"
"TEN_ENDOMETRIUM",2.32541833482333,12.696668459098,0.183151851394293,"low"
"JHH7_LIVER",2.09314704812456,11.5096555362286,0.181860094903451,"low"
"CALU3_LUNG",2.60506236922917,15.0161035781892,0.17348457645251,"low"
"NUGC4_STOMACH",2.58865448821147,14.9809898588392,0.172795957583811,"low"
"SKBR3_BREAST",2.76500724516535,16.0568737002128,0.172200846614912,"low"
